round,strategy,dataset,cost,f1,ece
37,Random,yahoo_answers_topics,227.9686757142279,0.6181087462345609,0.07967512309551239
38,Random,yahoo_answers_topics,235.32673967615014,0.006491271207278092,0.09467257559299469
39,Random,yahoo_answers_topics,245.46282499167054,0.615167161736812,0.08619163930416107
0,Entropy,yahoo_answers_topics,4.512989344095761,0.0,0.0
1,Entropy,yahoo_answers_topics,6.881930050014086,0.041945132344900785,0.01460757851600647
2,Entropy,yahoo_answers_topics,10.199394078613206,0.07069444444444445,0.04906138777732849
3,Entropy,yahoo_answers_topics,15.209699030667014,0.02095808383233533,0.0014984384179115295
4,Entropy,yahoo_answers_topics,17.101300185183423,0.01927710843373494,0.0029152631759643555
5,Entropy,yahoo_answers_topics,22.102876854326585,0.01818181818181818,0.01157785952091217
6,Entropy,yahoo_answers_topics,31.638323148172383,0.06462513304618567,0.0480373352766037
7,Entropy,yahoo_answers_topics,37.49237720253086,0.06831510677200123,0.030778467655181885
8,Entropy,yahoo_answers_topics,39.016045128051005,0.17374785641978988,0.12023518979549408
9,Entropy,yahoo_answers_topics,41.707264588694855,0.13981035173287687,0.08701170980930328
10,Entropy,yahoo_answers_topics,49.693418224208386,0.3585322348783162,0.27358198165893555
11,Entropy,yahoo_answers_topics,51.80714824739703,0.3299877999800157,0.22475123405456543
12,Entropy,yahoo_answers_topics,53.87669848600828,0.37134716243656934,0.3160814046859741
13,Entropy,yahoo_answers_topics,63.5459982292947,0.22839789590566445,0.13641409575939178
14,Entropy,yahoo_answers_topics,66.98012113374394,0.4140802785181187,0.2761295735836029
15,Entropy,yahoo_answers_topics,71.6915836978397,0.48717800546127865,0.3686935305595398
16,Entropy,yahoo_answers_topics,75.3188212138776,0.5173937288007556,0.41214606165885925
17,Entropy,yahoo_answers_topics,80.61798925474461,0.5305439561918087,0.37720829248428345
18,Entropy,yahoo_answers_topics,83.8186349335176,0.4359478853600941,0.3543960154056549
19,Entropy,yahoo_answers_topics,89.68579965877652,0.35434396159119413,0.24627605080604553
20,Entropy,yahoo_answers_topics,95.45382241914764,0.5540866927920445,0.3533310890197754
21,Entropy,yahoo_answers_topics,99.45143079812769,0.399202777025363,0.2543730139732361
22,Entropy,yahoo_answers_topics,103.19013556729247,0.5612422030973451,0.38244950771331787
23,Entropy,yahoo_answers_topics,106.6362276992447,0.5643358637630805,0.3556191325187683
24,Entropy,yahoo_answers_topics,109.49225461500936,0.5503212464447074,0.3021472990512848
25,Entropy,yahoo_answers_topics,113.94760086643987,0.563942815680659,0.31586945056915283
26,Entropy,yahoo_answers_topics,120.1737724392156,0.6146082826768353,0.2644219696521759
27,Entropy,yahoo_answers_topics,124.61336876549854,0.5638966846265656,0.27336999773979187
28,Entropy,yahoo_answers_topics,129.17270339731652,0.5882909007440148,0.28128179907798767
29,Entropy,yahoo_answers_topics,134.1808973240342,0.5603596561203051,0.2703567445278168
30,Entropy,yahoo_answers_topics,141.52806986973962,0.6074755552391351,0.34565454721450806
31,Entropy,yahoo_answers_topics,148.47269786304207,0.6209450850769195,0.34302085638046265
32,Entropy,yahoo_answers_topics,153.2263577940818,0.625676091214647,0.3236517310142517
33,Entropy,yahoo_answers_topics,157.45573476596917,0.6018701592481683,0.19609050452709198
34,Entropy,yahoo_answers_topics,163.04445302223107,0.005115730502727407,0.09628530591726303
35,Entropy,yahoo_answers_topics,166.87336549134372,0.5902143982754555,0.1421172320842743
36,Entropy,yahoo_answers_topics,172.77786513355446,0.6079394589859983,0.18211713433265686
37,Entropy,yahoo_answers_topics,179.05532086594346,0.39504243497762626,0.3355785012245178
38,Entropy,yahoo_answers_topics,184.76979817058537,0.6010683521028864,0.2822066843509674
39,Entropy,yahoo_answers_topics,189.60940267928225,0.6327998002211739,0.21603280305862427
0,LeastConfidence,yahoo_answers_topics,4.438819663383798,0.0,0.0
1,LeastConfidence,yahoo_answers_topics,10.16140762608746,0.022485207100591716,0.0036684423685073853
2,LeastConfidence,yahoo_answers_topics,18.81857035157534,0.013664596273291927,0.0523318275809288
3,LeastConfidence,yahoo_answers_topics,24.028532108876018,0.03548821548821549,0.012182720005512238
4,LeastConfidence,yahoo_answers_topics,30.529813061779414,0.022619047619047622,0.019548863172531128
5,LeastConfidence,yahoo_answers_topics,36.5985205762952,0.022485207100591716,0.016997158527374268
6,LeastConfidence,yahoo_answers_topics,43.12194721266998,0.04656100938605939,0.03378375619649887
7,LeastConfidence,yahoo_answers_topics,51.18683959856999,0.08790778712255791,0.05158275365829468
8,LeastConfidence,yahoo_answers_topics,61.61392553647413,0.15493258781202476,0.0965707004070282
9,LeastConfidence,yahoo_answers_topics,71.20348018702751,0.20584499494228492,0.1489856094121933
10,LeastConfidence,yahoo_answers_topics,77.10665339467019,0.19274060390439698,0.1743120402097702
11,LeastConfidence,yahoo_answers_topics,79.30458076394919,0.3116420707188859,0.24739596247673035
12,LeastConfidence,yahoo_answers_topics,83.20590123327494,0.4101467282369538,0.2913814187049866
13,LeastConfidence,yahoo_answers_topics,91.04044459223043,0.36556520982078416,0.2800582945346832
14,LeastConfidence,yahoo_answers_topics,93.2818052846161,0.45702340375453804,0.3253340721130371
15,LeastConfidence,yahoo_answers_topics,97.34277033647379,0.4940495220000821,0.34450724720954895
16,LeastConfidence,yahoo_answers_topics,101.12264865430916,0.5528783609687251,0.33108195662498474
17,LeastConfidence,yahoo_answers_topics,105.30379930817381,0.5479554658514416,0.33233416080474854
18,LeastConfidence,yahoo_answers_topics,109.37517058744996,0.553655392720143,0.330791711807251
19,LeastConfidence,yahoo_answers_topics,114.17208252984575,0.5152354354704403,0.30931809544563293
20,LeastConfidence,yahoo_answers_topics,118.27220095733983,0.584703912554435,0.33936747908592224
21,LeastConfidence,yahoo_answers_topics,125.7577771789968,0.5424545673541301,0.28996628522872925
22,LeastConfidence,yahoo_answers_topics,130.41964896354443,0.565819664377823,0.28136909008026123
23,LeastConfidence,yahoo_answers_topics,134.86081781276735,0.5339553904797136,0.2645419239997864
24,LeastConfidence,yahoo_answers_topics,139.34352465496184,0.5890427307318225,0.2923312783241272
25,LeastConfidence,yahoo_answers_topics,144.83036384332885,0.5814179429836451,0.2729434669017792
26,LeastConfidence,yahoo_answers_topics,150.79478386326824,0.5851983722999128,0.30416855216026306
27,LeastConfidence,yahoo_answers_topics,155.1922368194049,0.634770439117357,0.2907435894012451
28,LeastConfidence,yahoo_answers_topics,158.80087962573228,0.6228352525964431,0.3349718153476715
29,LeastConfidence,yahoo_answers_topics,163.91092364570463,0.01111111111111111,0.0988050103187561
30,LeastConfidence,yahoo_answers_topics,169.11163256900485,0.6490784204370031,0.29966801404953003
31,LeastConfidence,yahoo_answers_topics,175.2272570780851,0.5924923012252774,0.2373010814189911
32,LeastConfidence,yahoo_answers_topics,179.9474814416118,0.007193406220866175,0.09760387986898422
33,LeastConfidence,yahoo_answers_topics,185.37425710935128,0.627941374088609,0.15734651684761047
34,LeastConfidence,yahoo_answers_topics,193.43786778564274,0.003221632811489196,0.10032816231250763
35,LeastConfidence,yahoo_answers_topics,200.40018320634493,0.002777777777777778,0.09665699303150177
36,LeastConfidence,yahoo_answers_topics,206.67884913558353,0.009548985975179095,0.11632463335990906
37,LeastConfidence,yahoo_answers_topics,214.0347421038467,0.6414218994483896,0.22496835887432098
38,LeastConfidence,yahoo_answers_topics,221.25211803268834,0.011936850211782826,0.1210862398147583
39,LeastConfidence,yahoo_answers_topics,226.55835869520465,0.6070723391271338,0.10611306130886078
0,Margin,yahoo_answers_topics,4.536491642339276,0.0,0.0
1,Margin,yahoo_answers_topics,7.3939362880504085,0.021148036253776436,0.004273071885108948
2,Margin,yahoo_answers_topics,9.75035186504428,0.01818181818181818,0.012144014239311218
3,Margin,yahoo_answers_topics,13.177982685814051,0.03949579831932772,0.011890843510627747
4,Margin,yahoo_answers_topics,17.65511330267498,0.06262650103913306,0.05001705139875412
5,Margin,yahoo_answers_topics,21.56871089663605,0.018237082066869303,0.010539166629314423
6,Margin,yahoo_answers_topics,25.826273494704978,0.05276287728695343,0.005583666265010834
7,Margin,yahoo_answers_topics,28.118498286438893,0.03293682262754428,0.012277744710445404
8,Margin,yahoo_answers_topics,31.62440727981526,0.10050774718893185,0.0828917995095253
9,Margin,yahoo_answers_topics,37.27550119735497,0.23640018390793247,0.2163565754890442
10,Margin,yahoo_answers_topics,42.31812820192947,0.027874564459930317,0.0038178637623786926
11,Margin,yahoo_answers_topics,47.23859724488659,0.24099030639709595,0.22661864757537842
12,Margin,yahoo_answers_topics,53.07558087982161,0.2849845065662856,0.2715207040309906
13,Margin,yahoo_answers_topics,57.417621162137806,0.4781734663693819,0.34966573119163513
14,Margin,yahoo_answers_topics,62.427193368984376,0.42340257028629225,0.2914343774318695
15,Margin,yahoo_answers_topics,68.00932919329648,0.5381157482954365,0.3749503493309021
16,Margin,yahoo_answers_topics,72.66343510146582,0.5255207810005473,0.3823402523994446
17,Margin,yahoo_answers_topics,78.81584022600926,0.5530305186642849,0.39713114500045776
18,Margin,yahoo_answers_topics,84.2548084220142,0.5187844051301341,0.34953951835632324
19,Margin,yahoo_answers_topics,90.50716558639638,0.6308866688866688,0.35787588357925415
20,Margin,yahoo_answers_topics,95.92672744126615,0.25089335263456286,0.17369569838047028
21,Margin,yahoo_answers_topics,102.6012760442917,0.5745394653039274,0.33567216992378235
